,item_name,item_id,item_category_id,cleaned_name
0,! ВО ВЛАСТИ НАВАЖДЕНИЯ (ПЛАСТ.)         D,0,40, во власти наваждения d
1,"!ABBYY FineReader 12 Professional Edition Full [PC, Цифровая версия]",1,76,abbyy finereader 12 professional edition full 
2,***В ЛУЧАХ СЛАВЫ   (UNV)                    D,2,40,в лучах славы d
3,***ГОЛУБАЯ ВОЛНА  (Univ)                      D,3,40,голубая волна d
4,***КОРОБКА (СТЕКЛО)                       D,4,40,коробка d
5,***НОВЫЕ АМЕРИКАНСКИЕ ГРАФФИТИ  (UNI)             D,5,40,новые американские граффити d
6,***УДАР ПО ВОРОТАМ (UNI)               D,6,40,удар по воротам d
7,***УДАР ПО ВОРОТАМ-2 (UNI)               D,7,40,удар по воротам2 d
8,***ЧАЙ С МУССОЛИНИ                     D,8,40,чай с муссолини d
9,***ШУГАРЛЭНДСКИЙ ЭКСПРЕСС (UNI)             D,9,40,шугарлэндский экспресс d
10,*ЗА ГРАНЬЮ СМЕРТИ                       D,10,40,за гранью смерти d
11,*ЛИНИЯ СМЕРТИ                           D,11,40,линия смерти d
12,*МИХЕЙ И ДЖУМАНДЖИ  Сука любовь,12,55,михей и джуманджи сука любовь
13,*СПАСАЯ ЭМИЛИ                           D,13,40,спасая эмили d
14,*ЧОКНУТЫЙ ПРОФЕССОР /МАГИЯ/             D,14,40,чокнутый профессор магия d
15,//АДРЕНАЛИН: ОДИН ПРОТИВ ВСЕХ (Регион),15,40,адреналин один против всех 
16,//МОНГОЛ С.Бодров (Регион),16,40,монгол сбодров 
17,//НЕ ОСТАВЛЯЮЩИЙ СЛЕДА (Регион),17,40,не оставляющий следа 
18,/БОМБА ДЛЯ НЕВЕСТЫ /2DVD/               D,18,40,бомба для невесты 2dvd d
19,/ЗОЛОТАЯ КОЛЛЕКЦИЯ м/ф-72,19,40,золотая коллекция мф72
20,/ОДНАЖДЫ В КИТАЕ-2,20,40,однажды в китае2
21,/ПОСЛЕДНИЙ ШАНС,21,40,последний шанс
22,/ПРОКЛЯТЬЕ ЭЛЬ ЧАРРО,22,40,проклятье эль чарро
23,/СЕВЕР И ЮГ /Ч.2/,23,40,север и юг ч2
24,/СМЕРТЕЛЬНЫЙ РАСКЛАД,24,40,смертельный расклад
25,/ТЫ  - ТРУП,25,40,ты труп
26,/УМНОЖАЮЩИЙ ПЕЧАЛЬ т.2 (сер.3-4),26,40,умножающий печаль т2 
27,"007 Legends [PS3, русская версия]",27,19,007 legends 
28,"007 Legends [PС, Jewel, русская версия]",28,30,007 legends 
29,"007 Legends [Xbox 360, русская версия]",29,23,007 legends 
30,007: КООРДИНАТЫ «СКАЙФОЛЛ»,30,40,007 координаты скайфолл
31,007: КООРДИНАТЫ «СКАЙФОЛЛ» (BD),31,37,007 координаты скайфолл 
32,1+1,32,40,11
33,1+1 (BD),33,37,11 
34,10 000 ЛЕТ ДО НАШЕЙ ЭРЫ WB (регион),34,40,10 000 лет до нашей эры wb 
35,10 ЛЕТ СПУСТЯ,35,40,10 лет спустя
36,10 ЛЕТ СПУСТЯ (BD),36,37,10 лет спустя 
37,10 ЛЕТ СПУСТЯ (регион),37,40,10 лет спустя 
38,10 САМЫХ ПОПУЛЯРНЫХ КИНОКОМЕДИЙ ХХ ВЕКА  10DVD (rem),38,41,10 самых популярных кинокомедий хх века 10dvd 
39,10 САМЫХ ПОПУЛЯРНЫХ ОТЕЧЕСТВЕННЫХ КОМЕДИЙ ХХ ВЕКА (BD),39,41,10 самых популярных отечественных комедий хх века 
40,100 Best classical melodies (mp3-CD) (Digipack),40,57,100 best classical melodies 
41,100 Best relax melodies (mp3-CD) (CD-Digipack),41,57,100 best relax melodies 
42,100 Best romantic melodies (mp3-CD) (Digipack),42,57,100 best romantic melodies 
43,100 МИЛЛИОНОВ ЕВРО,43,40,100 миллионов евро
44,100 лучших мелодий против стресса (mp3-CD) (CD-Digipack),44,57,100 лучших мелодий против стресса 
45,100 лучших народных песен (mp3-CD) (CD-Digipack),45,57,100 лучших народных песен 
46,100 лучших произведений Баха (mp3-CD) (Digipack),46,57,100 лучших произведений баха 
47,100 лучших произведений Бетховена (mp3-CD) (Digipack),47,57,100 лучших произведений бетховена 
48,100 лучших произведений Вивальди (mp3-CD) (CD-Digipack),48,57,100 лучших произведений вивальди 
49,100 лучших произведений Моцарта (mp3-CD) (Digipack),49,57,100 лучших произведений моцарта 
50,100 лучших произведений Рахманинова (mp3-CD) (Jewel),50,57,100 лучших произведений рахманинова 
51,100 лучших произведений классики (mp3-CD) (Digipack),51,57,100 лучших произведений классики 
52,100 лучших произведений фортепианной музыки (mp3-CD) (CD-Digipack),52,57,100 лучших произведений фортепианной музыки 
53,100 лучших русских романсов (mp3-CD) (CD-Digipack),53,57,100 лучших русских романсов 
54,100 лучших цыганских романсов (mp3-CD) (CD-Digipack),54,57,100 лучших цыганских романсов 
55,100 любимых маленьких сказок (mp3-CD) (Jewel),55,43,100 любимых маленьких сказок 
56,100 любимых песен. Александра Пахмутова (подар. уп.) (mp3-CD) (Jewel),56,57,100 любимых песен александра пахмутова 
57,100 пудов из мультхитов (подар. уп.) (mp3-CD) (Jewel),57,57,100 пудов из мультхитов 
58,"100 чудес России [PC, Цифровая версия]",58,78,100 чудес россии 
59,100 шедевров классики (mp3-CD) (Digipack),59,57,100 шедевров классики 
60,1000 английских фраз на все случаи жизни (mp3-CD) (Jewel),60,43,1000 английских фраз на все случаи жизни 
61,1000 и одна ночь  2CD (mp3-DVD) (DVD-Book),61,43,1000 и одна ночь 2cd 
